node_id,x,y,z,floor,zone,tower
105,11.0,7.4,21.0,3,tower,1
106,11.0,8.6,21.0,3,tower,1
107,11.0,16.0,21.0,3,tower,1
108,14.4,0.0,21.0,3,tower,1
109,14.4,7.4,21.0,3,tower,1
110,14.4,8.6,21.0,3,tower,1
111,14.4,16.0,21.0,3,tower,1
112,15.6,0.0,21.0,3,tower,1
113,15.6,7.4,21.0,3,tower,1
114,15.6,8.6,21.0,3,tower,1
115,15.6,16.0,21.0,3,tower,1
116,19.0,0.0,21.0,3,tower,1
117,19.0,7.4,21.0,3,tower,1
118,19.0,8.6,21.0,3,tower,1
119,19.0,16.0,21.0,3,tower,1
120,27.0,0.0,21.0,3,tower,1
121,27.0,7.4,21.0,3,tower,1
122,27.0,8.6,21.0,3,tower,1
123,27.0,16.0,21.0,3,tower,1
124,30.0,0.0,21.0,3,tower,1
125,30.0,7.4,21.0,3,tower,1
126,30.0,8.6,21.0,3,tower,1
127,30.0,16.0,21.0,3,tower,1
128,0.0,0.0,27.0,4,tower,1
129,0.0,7.4,27.0,4,tower,1
130,0.0,8.6,27.0,4,tower,1
131,0.0,16.0,27.0,4,tower,1
132,3.0,0.0,27.0,4,tower,1
133,3.0,7.4,27.0,4,tower,1
134,3.0,8.6,27.0,4,tower,1
135,3.0,16.0,27.0,4,tower,1
136,11.0,0.0,27.0,4,tower,1
137,11.0,7.4,27.0,4,tower,1
138,11.0,8.6,27.0,4,tower,1
139,11.0,16.0,27.0,4,tower,1
140,14.4,0.0,27.0,4,tower,1
141,14.4,7.4,27.0,4,tower,1
142,14.4,8.6,27.0,4,tower,1
143,14.4,16.0,27.0,4,tower,1
144,15.6,0.0,27.0,4,tower,1
145,15.6,7.4,27.0,4,tower,1
146,15.6,8.6,27.0,4,tower,1
147,15.6,16.0,27.0,4,tower,1
148,19.0,0.0,27.0,4,tower,1
149,19.0,7.4,27.0,4,tower,1
150,19.0,8.6,27.0,4,tower,1
151,19.0,16.0,27.0,4,tower,1
152,27.0,0.0,27.0,4,tower,1
153,27.0,7.4,27.0,4,tower,1
154,27.0,8.6,27.0,4,tower,1
155,27.0,16.0,27.0,4,tower,1
156,30.0,0.0,27.0,4,tower,1
157,30.0,7.4,27.0,4,tower,1
158,30.0,8.6,27.0,4,tower,1
159,30.0,16.0,27.0,4,tower,1
160,0.0,0.0,33.0,5,tower,1
161,0.0,7.4,33.0,5,tower,1
162,0.0,8.6,33.0,5,tower,1
163,0.0,16.0,33.0,5,tower,1
164,3.0,0.0,33.0,5,tower,1
165,3.0,7.4,33.0,5,tower,1
166,3.0,8.6,33.0,5,tower,1
167,3.0,16.0,33.0,5,tower,1
168,11.0,0.0,33.0,5,tower,1
169,11.0,7.4,33.0,5,tower,1
170,11.0,8.6,33.0,5,tower,1
171,11.0,16.0,33.0,5,tower,1
172,14.4,0.0,33.0,5,tower,1
173,14.4,7.4,33.0,5,tower,1
174,14.4,8.6,33.0,5,tower,1
175,14.4,16.0,33.0,5,tower,1
176,15.6,0.0,33.0,5,tower,1
177,15.6,7.4,33.0,5,tower,1
178,15.6,8.6,33.0,5,tower,1
179,15.6,16.0,33.0,5,tower,1
180,19.0,0.0,33.0,5,tower,1
181,19.0,7.4,33.0,5,tower,1
182,19.0,8.6,33.0,5,tower,1
183,19.0,16.0,33.0,5,tower,1
184,27.0,0.0,33.0,5,tower,1
185,27.0,7.4,33.0,5,tower,1
186,27.0,8.6,33.0,5,tower,1
187,27.0,16.0,33.0,5,tower,1
188,30.0,0.0,33.0,5,tower,1
189,30.0,7.4,33.0,5,tower,1
190,30.0,8.6,33.0,5,tower,1
191,30.0,16.0,33.0,5,tower,1
192,0.0,0.0,39.0,6,tower,1
193,0.0,7.4,39.0,6,tower,1
194,0.0,8.6,39.0,6,tower,1
195,0.0,16.0,39.0,6,tower,1
196,3.0,0.0,39.0,6,tower,1
197,3.0,7.4,39.0,6,tower,1
198,3.0,8.6,39.0,6,tower,1
199,3.0,16.0,39.0,6,tower,1
200,11.0,0.0,39.0,6,tower,1
201,11.0,7.4,39.0,6,tower,1
202,11.0,8.6,39.0,6,tower,1
203,11.0,16.0,39.0,6,tower,1
204,14.4,0.0,39.0,6,tower,1
205,14.4,7.4,39.0,6,tower,1
206,14.4,8.6,39.0,6,tower,1
207,14.4,16.0,39.0,6,tower,1
208,15.6,0.0,39.0,6,tower,1
209,15.6,7.4,39.0,6,tower,1
210,15.6,8.6,39.0,6,tower,1
211,15.6,16.0,39.0,6,tower,1
212,19.0,0.0,39.0,6,tower,1
213,19.0,7.4,39.0,6,tower,1
214,19.0,8.6,39.0,6,tower,1
215,19.0,16.0,39.0,6,tower,1
216,27.0,0.0,39.0,6,tower,1
217,27.0,7.4,39.0,6,tower,1
218,27.0,8.6,39.0,6,tower,1
219,27.0,16.0,39.0,6,tower,1
220,30.0,0.0,39.0,6,tower,1
221,30.0,7.4,39.0,6,tower,1
222,30.0,8.6,39.0,6,tower,1
223,30.0,16.0,39.0,6,tower,1
224,0.0,0.0,45.0,7,tower,1
225,0.0,7.4,45.0,7,tower,1
226,0.0,8.6,45.0,7,tower,1
227,0.0,16.0,45.0,7,tower,1
228,3.0,0.0,45.0,7,tower,1
