node_id,x,y,z,floor,zone,tower
368,12.0,16.0,147.0,24,tower,1
369,19.2,0.0,147.0,24,tower,1
370,19.2,8.0,147.0,24,tower,1
371,19.2,16.0,147.0,24,tower,1
372,20.8,0.0,147.0,24,tower,1
373,20.8,8.0,147.0,24,tower,1
374,20.8,16.0,147.0,24,tower,1
375,28.0,0.0,147.0,24,tower,1
376,28.0,8.0,147.0,24,tower,1
377,28.0,16.0,147.0,24,tower,1
378,12.0,0.0,153.0,25,tower,1
379,12.0,8.0,153.0,25,tower,1
380,12.0,16.0,153.0,25,tower,1
381,19.2,0.0,153.0,25,tower,1
382,19.2,8.0,153.0,25,tower,1
383,19.2,16.0,153.0,25,tower,1
384,20.8,0.0,153.0,25,tower,1
385,20.8,8.0,153.0,25,tower,1
386,20.8,16.0,153.0,25,tower,1
387,28.0,0.0,153.0,25,tower,1
388,28.0,8.0,153.0,25,tower,1
389,28.0,16.0,153.0,25,tower,1
390,0.0,24.0,0.0,0,podium,2
391,0.0,32.0,0.0,0,podium,2
392,0.0,40.0,0.0,0,podium,2
393,8.0,24.0,0.0,0,podium,2
394,8.0,32.0,0.0,0,podium,2
395,8.0,40.0,0.0,0,podium,2
396,16.0,24.0,0.0,0,podium,2
397,16.0,32.0,0.0,0,podium,2
398,16.0,40.0,0.0,0,podium,2
399,24.0,24.0,0.0,0,podium,2
400,24.0,32.0,0.0,0,podium,2
401,24.0,40.0,0.0,0,podium,2
402,32.0,24.0,0.0,0,podium,2
403,32.0,32.0,0.0,0,podium,2
404,32.0,40.0,0.0,0,podium,2
405,40.0,24.0,0.0,0,podium,2
406,40.0,32.0,0.0,0,podium,2
407,40.0,40.0,0.0,0,podium,2
408,0.0,24.0,9.0,1,podium,2
409,0.0,32.0,9.0,1,podium,2
410,0.0,40.0,9.0,1,podium,2
411,8.0,24.0,9.0,1,podium,2
412,8.0,32.0,9.0,1,podium,2
413,8.0,40.0,9.0,1,podium,2
414,16.0,24.0,9.0,1,podium,2
415,16.0,32.0,9.0,1,podium,2
416,16.0,40.0,9.0,1,podium,2
417,24.0,24.0,9.0,1,podium,2
418,24.0,32.0,9.0,1,podium,2
419,24.0,40.0,9.0,1,podium,2
420,32.0,24.0,9.0,1,podium,2
421,32.0,32.0,9.0,1,podium,2
422,32.0,40.0,9.0,1,podium,2
423,40.0,24.0,9.0,1,podium,2
424,40.0,32.0,9.0,1,podium,2
425,40.0,40.0,9.0,1,podium,2
426,0.0,24.0,15.0,2,podium,2
427,0.0,32.0,15.0,2,podium,2
428,0.0,40.0,15.0,2,podium,2
429,8.0,24.0,15.0,2,podium,2
430,8.0,32.0,15.0,2,podium,2
431,8.0,40.0,15.0,2,podium,2
432,16.0,24.0,15.0,2,podium,2
433,16.0,32.0,15.0,2,podium,2
434,16.0,40.0,15.0,2,podium,2
435,24.0,24.0,15.0,2,podium,2
436,24.0,32.0,15.0,2,podium,2
437,24.0,40.0,15.0,2,podium,2
438,32.0,24.0,15.0,2,podium,2
439,32.0,32.0,15.0,2,podium,2
440,32.0,40.0,15.0,2,podium,2
441,40.0,24.0,15.0,2,podium,2
442,40.0,32.0,15.0,2,podium,2
443,40.0,40.0,15.0,2,podium,2
444,0.0,24.0,21.0,3,podium,2
445,0.0,32.0,21.0,3,podium,2
446,0.0,40.0,21.0,3,podium,2
447,8.0,24.0,21.0,3,podium,2
448,8.0,32.0,21.0,3,podium,2
449,8.0,40.0,21.0,3,podium,2
450,16.0,24.0,21.0,3,podium,2
451,16.0,32.0,21.0,3,podium,2
452,16.0,40.0,21.0,3,podium,2
453,24.0,24.0,21.0,3,podium,2
454,24.0,32.0,21.0,3,podium,2
455,24.0,40.0,21.0,3,podium,2
456,32.0,24.0,21.0,3,podium,2
457,32.0,32.0,21.0,3,podium,2
458,32.0,40.0,21.0,3,podium,2
459,40.0,24.0,21.0,3,podium,2
460,40.0,32.0,21.0,3,podium,2
461,40.0,40.0,21.0,3,podium,2
462,0.0,24.0,27.0,4,podium,2
463,0.0,32.0,27.0,4,podium,2
464,0.0,40.0,27.0,4,podium,2
465,8.0,24.0,27.0,4,podium,2
466,8.0,32.0,27.0,4,podium,2
467,8.0,40.0,27.0,4,podium,2
468,16.0,24.0,27.0,4,podium,2
469,16.0,32.0,27.0,4,podium,2
470,16.0,40.0,27.0,4,podium,2
471,24.0,24.0,27.0,4,podium,2
472,24.0,32.0,27.0,4,podium,2
473,24.0,40.0,27.0,4,podium,2
474,32.0,24.0,27.0,4,podium,2
475,32.0,32.0,27.0,4,podium,2
476,32.0,40.0,27.0,4,podium,2
477,40.0,24.0,27.0,4,podium,2
478,40.0,32.0,27.0,4,podium,2
479,40.0,40.0,27.0,4,podium,2
480,0.0,24.0,33.0,5,podium,2
481,0.0,32.0,33.0,5,podium,2
482,0.0,40.0,33.0,5,podium,2
483,8.0,24.0,33.0,5,podium,2
484,8.0,32.0,33.0,5,podium,2
485,8.0,40.0,33.0,5,podium,2
486,16.0,24.0,33.0,5,podium,2
487,16.0,32.0,33.0,5,podium,2
