node_id,x,y,z,floor,zone
229,40.0,16.0,51.0,8,podium
230,40.0,16.0,57.0,9,podium
231,40.0,16.0,63.0,10,podium
232,40.0,16.0,69.0,11,podium
233,40.0,16.0,75.0,12,podium
234,8.0,0.0,81.0,13,tower
235,8.0,0.0,87.0,14,tower
236,8.0,0.0,93.0,15,tower
237,8.0,0.0,99.0,16,tower
238,8.0,0.0,105.0,17,tower
239,8.0,0.0,111.0,18,tower
240,8.0,0.0,117.0,19,tower
241,8.0,0.0,123.0,20,tower
242,8.0,0.0,129.0,21,tower
243,8.0,0.0,135.0,22,tower
244,8.0,0.0,141.0,23,tower
245,8.0,0.0,147.0,24,tower
246,8.0,0.0,153.0,25,tower
247,8.0,8.0,81.0,13,tower
248,8.0,8.0,87.0,14,tower
249,8.0,8.0,93.0,15,tower
250,8.0,8.0,99.0,16,tower
251,8.0,8.0,105.0,17,tower
252,8.0,8.0,111.0,18,tower
253,8.0,8.0,117.0,19,tower
254,8.0,8.0,123.0,20,tower
255,8.0,8.0,129.0,21,tower
256,8.0,8.0,135.0,22,tower
257,8.0,8.0,141.0,23,tower
258,8.0,8.0,147.0,24,tower
259,8.0,8.0,153.0,25,tower
260,8.0,16.0,81.0,13,tower
261,8.0,16.0,87.0,14,tower
262,8.0,16.0,93.0,15,tower
263,8.0,16.0,99.0,16,tower
264,8.0,16.0,105.0,17,tower
265,8.0,16.0,111.0,18,tower
266,8.0,16.0,117.0,19,tower
267,8.0,16.0,123.0,20,tower
268,8.0,16.0,129.0,21,tower
269,8.0,16.0,135.0,22,tower
270,8.0,16.0,141.0,23,tower
271,8.0,16.0,147.0,24,tower
272,8.0,16.0,153.0,25,tower
273,16.0,0.0,81.0,13,tower
274,16.0,0.0,87.0,14,tower
275,16.0,0.0,93.0,15,tower
276,16.0,0.0,99.0,16,tower
277,16.0,0.0,105.0,17,tower
278,16.0,0.0,111.0,18,tower
279,16.0,0.0,117.0,19,tower
280,16.0,0.0,123.0,20,tower
281,16.0,0.0,129.0,21,tower
282,16.0,0.0,135.0,22,tower
283,16.0,0.0,141.0,23,tower
284,16.0,0.0,147.0,24,tower
285,16.0,0.0,153.0,25,tower
286,16.0,8.0,81.0,13,tower
287,16.0,8.0,87.0,14,tower
288,16.0,8.0,93.0,15,tower
289,16.0,8.0,99.0,16,tower
290,16.0,8.0,105.0,17,tower
291,16.0,8.0,111.0,18,tower
292,16.0,8.0,117.0,19,tower
293,16.0,8.0,123.0,20,tower
