element_id,element_type,is_truss,ni,nj,mid_x,mid_y,mid_z,x1,y1,z1,x2,y2,z2,sigma_axial_kPa,sigma_bending_kPa,sigma_combined_kPa,sigma_combined_MPa
1828,beam_x,False,743,746,0.1315,0.397,0.5700000000000001,0.113,0.397,0.5700000000000001,0.15,0.397,0.5700000000000001,-396.8983966724708,214.14532928240166,611.0437259548725,0.6110437259548724
1829,beam_x,False,744,747,0.16849999999999998,0.24300000000000002,0.5700000000000001,0.15,0.24300000000000002,0.5700000000000001,0.187,0.24300000000000002,0.5700000000000001,221.6252612790533,206.50049118515741,428.1257524642107,0.4281257524642107
1830,beam_x,False,746,749,0.16849999999999998,0.397,0.5700000000000001,0.15,0.397,0.5700000000000001,0.187,0.397,0.5700000000000001,-387.31887865473266,337.55672987723904,724.8756085319717,0.7248756085319716
1831,beam_x,False,747,750,0.2285,0.24300000000000002,0.5700000000000001,0.187,0.24300000000000002,0.5700000000000001,0.27,0.24300000000000002,0.5700000000000001,-6.027658562550313,468.28543521212447,474.31309377467477,0.4743130937746748
1832,beam_x,False,749,752,0.2285,0.397,0.5700000000000001,0.187,0.397,0.5700000000000001,0.27,0.397,0.5700000000000001,-5.214927396002781,457.8737817087624,463.0887091047652,0.4630887091047652
1833,beam_x,False,750,753,0.2835,0.24300000000000002,0.5700000000000001,0.27,0.24300000000000002,0.5700000000000001,0.297,0.24300000000000002,0.5700000000000001,-4.669361257146843,3254.0150344882513,3258.684395745398,3.258684395745398
1834,beam_x,False,752,755,0.2835,0.397,0.5700000000000001,0.27,0.397,0.5700000000000001,0.297,0.397,0.5700000000000001,-4.098393418120623,2986.421887126505,2990.520280544626,2.9905202805446263
1835,beam_y,False,735,736,0.003,0.28150000000000003,0.5700000000000001,0.003,0.24300000000000002,0.5700000000000001,0.003,0.32,0.5700000000000001,-0.37126874564152085,85.01845565164653,85.38972439728805,0.08538972439728805
1836,beam_y,False,753,754,0.297,0.28150000000000003,0.5700000000000001,0.297,0.24300000000000002,0.5700000000000001,0.297,0.32,0.5700000000000001,-2.124586711118726,83.47051179396497,85.5950985050837,0.08559509850508369
1837,beam_y,False,736,737,0.003,0.35850000000000004,0.5700000000000001,0.003,0.32,0.5700000000000001,0.003,0.397,0.5700000000000001,-0.29069278679358607,54.700109504675716,54.9908022914693,0.0549908022914693
1838,beam_y,False,754,755,0.297,0.35850000000000004,0.5700000000000001,0.297,0.32,0.5700000000000001,0.297,0.397,0.5700000000000001,4.384365568694114,260.70215313377656,265.0865187024707,0.2650865187024707
1839,brace_xz,True,741,765,0.1315,0.24300000000000002,0.6000000000000001,0.113,0.24300000000000002,0.5700000000000001,0.15,0.24300000000000002,0.63,181.2494779888316,0.0,181.2494779888316,0.1812494779888316
1840,brace_xz,True,744,762,0.1315,0.24300000000000002,0.6000000000000001,0.15,0.24300000000000002,0.5700000000000001,0.113,0.24300000000000002,0.63,327.0363861601642,0.0,327.0363861601642,0.3270363861601642
