joint,x,y,z
231,2.7,24.0,33.0
232,2.7,31.7,33.0
233,2.7,39.4,33.0
234,11.0,7.700000000000001,33.0
235,11.0,15.400000000000002,33.0
236,11.0,24.0,33.0
237,11.0,31.7,33.0
238,11.0,39.4,33.0
239,14.7,7.700000000000001,33.0
240,14.7,15.400000000000002,33.0
241,14.7,24.0,33.0
242,14.7,31.7,33.0
243,14.7,39.4,33.0
244,18.4,7.700000000000001,33.0
245,18.4,15.400000000000002,33.0
246,18.4,24.0,33.0
247,18.4,31.7,33.0
248,18.4,39.4,33.0
249,26.7,7.700000000000001,33.0
250,26.7,15.400000000000002,33.0
251,26.7,24.0,33.0
252,26.7,31.7,33.0
253,26.7,39.4,33.0
254,29.4,7.700000000000001,33.0
255,29.4,15.400000000000002,33.0
256,29.4,24.0,33.0
257,29.4,31.7,33.0
258,29.4,39.4,33.0
259,0.0,0.0,39.0
260,0.0,7.700000000000001,39.0
261,0.0,15.400000000000002,39.0
262,0.0,24.0,39.0
263,0.0,31.7,39.0
264,0.0,39.4,39.0
265,2.6999999999999997,0.0,39.0
266,11.0,0.0,39.0
267,14.699999999999998,0.0,39.0
268,18.4,0.0,39.0
269,26.700000000000003,0.0,39.0
270,29.4,0.0,39.0
271,2.7,7.700000000000001,39.0
272,2.7,15.400000000000002,39.0
273,2.7,24.0,39.0
274,2.7,31.7,39.0
275,2.7,39.4,39.0
276,11.0,7.700000000000001,39.0
277,11.0,15.400000000000002,39.0
278,11.0,24.0,39.0
279,11.0,31.7,39.0
280,11.0,39.4,39.0
281,14.7,7.700000000000001,39.0
282,14.7,15.400000000000002,39.0
283,14.7,24.0,39.0
284,14.7,31.7,39.0
285,14.7,39.4,39.0
286,18.4,7.700000000000001,39.0
287,18.4,15.400000000000002,39.0
288,18.4,24.0,39.0
289,18.4,31.7,39.0
290,18.4,39.4,39.0
291,26.7,7.700000000000001,39.0
292,26.7,15.400000000000002,39.0
293,26.7,24.0,39.0
294,26.7,31.7,39.0
