node_id	x	z	floor
744	11.0	141.0	23
747	11.0	141.0	23
748	14.4	141.0	23
751	14.4	141.0	23
752	15.6	141.0	23
755	15.6	141.0	23
756	19.0	141.0	23
759	19.0	141.0	23
760	27.0	141.0	23
763	27.0	141.0	23
764	30.0	141.0	23
767	30.0	141.0	23
768	0.0	147.0	24
771	0.0	147.0	24
772	3.0	147.0	24
775	3.0	147.0	24
776	11.0	147.0	24
779	11.0	147.0	24
780	14.4	147.0	24
783	14.4	147.0	24
784	15.6	147.0	24
787	15.6	147.0	24
788	19.0	147.0	24
791	19.0	147.0	24
792	27.0	147.0	24
795	27.0	147.0	24
796	30.0	147.0	24
799	30.0	147.0	24
800	0.0	153.0	25
803	0.0	153.0	25
804	3.0	153.0	25
807	3.0	153.0	25
808	11.0	153.0	25
811	11.0	153.0	25
812	14.4	153.0	25
815	14.4	153.0	25
816	15.6	153.0	25
819	15.6	153.0	25
820	19.0	153.0	25
823	19.0	153.0	25
824	27.0	153.0	25
827	27.0	153.0	25
828	30.0	153.0	25
831	30.0	153.0	25
