time_s,disp_mm,vel_mm_s,accel_m_s2
5.116999999999999993e+00,-2.421103779383278476e-01,5.479720256873580553e+00,2.559584979933944293e-01
5.118000000000000327e+00,-2.365066912810872557e-01,5.727653057607584586e+00,2.399071034746136366e-01
5.118999999999999773e+00,-2.306638718753546147e-01,5.957985753857723665e+00,2.207582890256645225e-01
5.120000000000000107e+00,-2.245999169044911314e-01,6.169924187869239240e+00,2.031185789973648514e-01
5.121000000000000441e+00,-2.183313897711424978e-01,6.367130078828035167e+00,1.912932029202287776e-01
5.121999999999999886e+00,-2.118700213844887104e-01,6.555606694479539698e+00,1.856600283827802844e-01
5.123000000000000220e+00,-2.052227683477556019e-01,6.738899378986645594e+00,1.809253406314332846e-01
5.123999999999999666e+00,-1.983960584049253573e-01,6.914520506673856204e+00,1.703169147429861585e-01
5.125000000000000000e+00,-1.913973829501419976e-01,7.082830402892870580e+00,1.663028776950390419e-01
5.126000000000000334e+00,-1.842307919173249986e-01,7.250351662741127967e+00,1.687396420014757314e-01
5.126999999999999780e+00,-1.768967035656542619e-01,7.417825040600353859e+00,1.662071137169760515e-01
5.128000000000000114e+00,-1.693966618700988302e-01,7.582258350510488576e+00,1.626595061032916067e-01
5.129000000000000448e+00,-1.617338435456573409e-01,7.743378298372490143e+00,1.595803896207115269e-01
5.129999999999999893e+00,-1.539117765481803346e-01,7.900755696581518883e+00,1.551744067973459540e-01
5.131000000000000227e+00,-1.459325835338377841e-01,8.057630332103627779e+00,1.585748642468665093e-01
5.131999999999999673e+00,-1.377960072254940105e-01,8.215522284583913759e+00,1.572090407137090029e-01
5.133000000000000007e+00,-1.295041390186459362e-01,8.368214129112196531e+00,1.481746483428529881e-01
5.134000000000000341e+00,-1.210642028713031504e-01,8.511658165573395607e+00,1.387134245795487164e-01
5.134999999999999787e+00,-1.124836343216174678e-01,8.649478933797976055e+00,1.369281118696157318e-01
5.136000000000000121e+00,-1.037682877089491223e-01,8.781214291538697481e+00,1.265426036118235675e-01
5.137000000000000455e+00,-9.492679927352366820e-02,8.901762579312208601e+00,1.145539719351951202e-01
5.137999999999999901e+00,-8.597040684573611924e-02,9.011022276262909969e+00,1.039654219662076162e-01
5.139000000000000234e+00,-7.691061113492474177e-02,9.108569145359844299e+00,9.112831622766104367e-02
5.139999999999999680e+00,-6.775947476935714753e-02,9.193703585775343967e+00,7.914056460334184528e-02
5.141000000000000014e+00,-5.852901291433143527e-02,9.267220124276066784e+00,6.789251239810378813e-02
5.142000000000000348e+00,-4.923146601705091774e-02,9.327873670284969165e+00,5.341457961969742207e-02
5.142999999999999794e+00,-3.988017452207826691e-02,9.374709319660343709e+00,4.025671913105166588e-02
5.144000000000000128e+00,-3.048836416762818954e-02,9.408911389239808187e+00,2.814742002787729014e-02
5.145000000000000462e+00,-2.106962780222170276e-02,9.428561341573166388e+00,1.115248463883555807e-02
5.145999999999999908e+00,-1.163880155481625614e-02,9.433091153237727511e+00,-2.092861309713311968e-03
5.147000000000000242e+00,-2.210501472958057399e-03,9.423509010478667847e+00,-1.707142420840246366e-02
5.147999999999999687e+00,7.199549437491857377e-03,9.396592810421161346e+00,-3.676097590661053793e-02
5.149000000000000021e+00,1.657564141508078084e-02,9.355591144756683519e+00,-4.524235542234511520e-02
5.150000000000000355e+00,2.590569692132143470e-02,9.304519867724623694e+00,-5.690019864177808806e-02
5.150999999999999801e+00,3.517884110927445990e-02,9.241768508181429809e+00,-6.860252044460612986e-02
5.152000000000000135e+00,4.438395162106073544e-02,9.168452515391123825e+00,-7.802946513600583778e-02
5.153000000000000469e+00,5.351143993286834599e-02,9.086524108224082852e+00,-8.582734919806900287e-02
5.153999999999999915e+00,6.255478012115002484e-02,9.000156268339278398e+00,-8.690833057153990460e-02
5.155000000000000249e+00,7.151066073299412740e-02,8.911604955348929380e+00,-9.019429540915457899e-02
5.155999999999999694e+00,8.037449660139009411e-02,8.816066781443007372e+00,-1.008820524026894372e-01
5.157000000000000028e+00,8.913894942620176343e-02,8.712838868180321938e+00,-1.055737741226814297e-01
5.158000000000000362e+00,9.779866854807200971e-02,8.606599375560170628e+00,-1.069052111176211906e-01
5.158999999999999808e+00,1.063491891852170745e-01,8.494441898729965246e+00,-1.174097425427895747e-01
5.160000000000000142e+00,1.147824904034584759e-01,8.372160537752822762e+00,-1.271529794114918399e-01
5.161000000000000476e+00,1.230894545418325797e-01,8.241767738995408266e+00,-1.336326181033336002e-01
5.161999999999999922e+00,1.312637038363230757e-01,8.106730849985579468e+00,-1.364411599163239952e-01
5.163000000000000256e+00,1.393014001829381288e-01,7.968661843244512433e+00,-1.396968535658154043e-01
5.163999999999999702e+00,1.472000389332507320e-01,7.828615657380679771e+00,-1.403955181618499193e-01
5.165000000000000036e+00,1.549569569905716315e-01,7.685220457261129567e+00,-1.463948820772522641e-01
5.166000000000000369e+00,1.625664581986274171e-01,7.533781958850469529e+00,-1.564821147440660365e-01
5.166999999999999815e+00,1.700190803082423929e-01,7.371462260379446185e+00,-1.681572821979806509e-01
5.168000000000000149e+00,1.773036739301360187e-01,7.197724983407844057e+00,-1.793172717452236054e-01
5.169000000000000483e+00,1.844091179117124113e-01,7.013162979744939740e+00,-1.898067355805850287e-01
5.169999999999999929e+00,1.913226610928459304e-01,6.813923382522063754e+00,-2.086724588651669432e-01
5.171000000000000263e+00,1.980291870556438183e-01,6.599128543073746300e+00,-2.209172200314661882e-01
5.171999999999999709e+00,2.045147806064023799e-01,6.372058558443335130e+00,-2.332227492293561522e-01
5.173000000000000043e+00,2.107671115542321116e-01,6.132603337216135486e+00,-2.456876932250431356e-01
5.174000000000000377e+00,2.167736518530411216e-01,5.880477260401915984e+00,-2.585644604033958682e-01
5.174999999999999822e+00,2.225221055269032133e-01,5.616430087322275000e+00,-2.695298857558896533e-01
5.176000000000000156e+00,2.280011923931176965e-01,5.341743645106653560e+00,-2.798429986753532273e-01
5.177000000000000490e+00,2.332008080515012016e-01,5.057487671660378048e+00,-2.886689482171995724e-01
5.177999999999999936e+00,2.381132154580824778e-01,4.767327141502168075e+00,-2.916521120992221494e-01
5.179000000000000270e+00,2.427342878874016729e-01,4.474817717136225781e+00,-2.933667366326624393e-01
5.179999999999999716e+00,2.470606525228187245e-01,4.177911553697867930e+00,-3.004455902440532622e-01
5.181000000000000050e+00,2.510890246805454473e-01,3.878832761755579117e+00,-2.977119936405252520e-01
5.182000000000000384e+00,2.548218338545735762e-01,3.586785586300675011e+00,-2.863823572692829611e-01
5.182999999999999829e+00,2.582672537007563718e-01,3.304054106064942431e+00,-2.790806032021830863e-01
5.184000000000000163e+00,2.614322196749934712e-01,3.025877842409192553e+00,-2.772719241093166698e-01
5.185000000000000497e+00,2.643198567179146363e-01,2.749396243433226861e+00,-2.756912738426138265e-01
5.185999999999999943e+00,2.669341480319049609e-01,2.479186384547381383e+00,-2.647284439290771285e-01
5.187000000000000277e+00,2.692831698997300016e-01,2.218857351102731190e+00,-2.559296229602232575e-01
5.187999999999999723e+00,2.713740404378603976e-01,1.962883725158084181e+00,-2.560176289290712059e-01
5.189000000000000057e+00,2.732085871810969735e-01,1.706209761315017337e+00,-2.573302987570624811e-01
5.190000000000000391e+00,2.747864072910091160e-01,1.449430458509314512e+00,-2.562283068543436126e-01
5.190999999999999837e+00,2.761091872901246802e-01,1.196129539721753066e+00,-2.503735307207792804e-01
5.192000000000000171e+00,2.771810553062557525e-01,9.476064925404269479e-01,-2.466725636418727330e-01
5.193000000000000504e+00,2.780049485608053206e-01,7.001800165586528069e-01,-2.481803883216755491e-01
5.193999999999999950e+00,2.785803904575344103e-01,4.507037768995787452e-01,-2.507720909964727962e-01
5.195000000000000284e+00,2.789048698068108401e-01,1.982549216532686065e-01,-2.541256194961474257e-01
5.195999999999999730e+00,2.789747462574462822e-01,-5.850202038240603919e-02,-2.593882645752019211e-01
5.197000000000000064e+00,2.787851076345793655e-01,-3.207752253514559726e-01,-2.651581453628979457e-01
5.198000000000000398e+00,2.783303532471007036e-01,-5.887335496058219153e-01,-2.707585031458339397e-01
5.198999999999999844e+00,2.776065218084083908e-01,-8.589293277787950487e-01,-2.696330532001123270e-01
5.200000000000000178e+00,2.766130776274617897e-01,-1.127959034114412340e+00,-2.684263594711218115e-01
5.201000000000000512e+00,2.753495369022690431e-01,-1.399122416271084468e+00,-2.739004048422224447e-01
5.201999999999999957e+00,2.738128397087817856e-01,-1.674271970703412382e+00,-2.763987040224333835e-01
