time,disp,vel,accel
1.105000000000000071e+01,-2.695584644135448757e-04,4.054128428198312123e-02,-2.349106468823736193e-01
1.106000000000000050e+01,9.899912472472905821e-05,3.317023354567166099e-02,-1.239299500379916985e+00
1.107000000000000028e+01,3.539213044760727606e-04,1.781420240459707233e-02,-1.831906727835000304e+00
1.108000000000000007e+01,4.359027679434173547e-04,-1.417909711128154809e-03,-2.014515695310044929e+00
1.108999999999999986e+01,3.338527486061217413e-04,-1.899209415633096656e-02,-1.500321193730517422e+00
1.109999999999999964e+01,1.046190111482458963e-04,-2.685465333524420309e-02,-7.219064205212966101e-02
1.110999999999999943e+01,-1.283924389204343540e-04,-1.974763667849184848e-02,1.493593973402600028e+00
1.112000000000000099e+01,-2.349103686572208383e-04,-1.555949268865448182e-03,2.144743508522680031e+00
1.113000000000000078e+01,-1.529523700833542972e-04,1.794754898363875792e-02,1.755956141978161078e+00
1.114000000000000057e+01,8.931176332831135246e-05,3.050527769869437397e-02,7.555896010329625767e-01
1.115000000000000036e+01,4.025574482693054660e-04,3.214385928950444504e-02,-4.278732828709479463e-01
1.116000000000000014e+01,6.830998125254865092e-04,2.396461356173176099e-02,-1.207975862683587920e+00
1.116999999999999993e+01,8.588697146954666056e-04,1.118936687226426002e-02,-1.347073475209913163e+00
1.117999999999999972e+01,9.120276737030169178e-04,-5.577750707541975772e-04,-1.002354913393777913e+00
1.118999999999999950e+01,8.704824256358026499e-04,-7.751274542688656871e-03,-4.363449809931139178e-01
1.120000000000000107e+01,7.867830285469217628e-04,-8.988604875087520540e-03,1.888789145133409342e-01
1.121000000000000085e+01,7.247078353092418048e-04,-3.426433772448471068e-03,9.235553060144687798e-01
1.122000000000000064e+01,7.468756871375750641e-04,7.860004138115123801e-03,1.333732276098249958e+00
1.123000000000000043e+01,8.783764009644728270e-04,1.844013862726442965e-02,7.822946217316109063e-01
1.124000000000000021e+01,1.071620118149456055e-03,2.020860480973221684e-02,-4.286013852380539113e-01
1.125000000000000000e+01,1.230775540219742562e-03,1.162247960432508109e-02,-1.288623655843372351e+00
1.125999999999999979e+01,1.281311231747183765e-03,-1.515341298836840600e-03,-1.338940524789011377e+00
1.126999999999999957e+01,1.214566341530076829e-03,-1.183363674458454660e-02,-7.247185643605296157e-01
1.127999999999999936e+01,1.071885536424683387e-03,-1.670252427649414340e-02,-2.490589420213900063e-01
1.129000000000000092e+01,9.036832642349842222e-04,-1.693793016144568703e-02,2.019777650310810024e-01
1.130000000000000071e+01,7.453798661744834905e-04,-1.472274945065445845e-02,2.410583771271643805e-01
1.131000000000000050e+01,6.163197878864012415e-04,-1.108926620696198961e-02,4.856382716113283315e-01
1.132000000000000028e+01,5.346044339268232314e-04,-5.253804584953614132e-03,6.814540527903472089e-01
1.133000000000000007e+01,5.100513932908836649e-04,3.431964577657008186e-04,4.379461557535158089e-01
1.133999999999999986e+01,5.220768435723096689e-04,2.061893598519499993e-03,-9.420672760275600188e-02
1.134999999999999964e+01,5.236086034004331941e-04,-1.755541632894794951e-03,-6.692803186801030702e-01
1.135999999999999943e+01,4.633939732764120870e-04,-1.028738439190942690e-02,-1.037088233122823278e+00
1.137000000000000099e+01,3.123805762418197917e-04,-1.991529501500903521e-02,-8.884938914970976764e-01
1.138000000000000078e+01,8.106111050772035385e-05,-2.634859813181085475e-02,-3.981667318632651220e-01
1.139000000000000057e+01,-1.903983390705877036e-04,-2.794329178385075718e-02,7.922800145528463567e-02
1.140000000000000036e+01,-4.463470876624929203e-04,-2.324645793453029158e-02,8.601387684088093177e-01
1.141000000000000014e+01,-6.156821140155638002e-04,-1.062054733608388396e-02,1.665043351280473205e+00
1.141999999999999993e+01,-6.356948893973182876e-04,6.617992259732986479e-03,1.782664567882900508e+00
1.142999999999999972e+01,-4.949583773507858046e-04,2.152931014957350925e-02,1.199599010085204087e+00
1.143999999999999950e+01,-2.473059039864674603e-04,2.800118452329015961e-02,9.477586465812559702e-02
1.145000000000000107e+01,8.287433829386557305e-06,2.311748303988064857e-02,-1.071516161340027251e+00
1.146000000000000085e+01,1.657337862215833824e-04,8.371787438558715710e-03,-1.877622958924358487e+00
1.147000000000000064e+01,1.568100506576797768e-04,-1.015653455133943769e-02,-1.828041439055271722e+00
1.148000000000000043e+01,-9.892689612303164282e-06,-2.318401350265715186e-02,-7.774543512082712216e-01
1.149000000000000021e+01,-2.466056981723997233e-04,-2.415858820936215776e-02,5.825394098672707077e-01
1.150000000000000000e+01,-4.341060299284944368e-04,-1.334147814185678363e-02,1.580882603633804839e+00
1.150999999999999979e+01,-4.811132350385088647e-04,3.940037119853898040e-03,1.875420448708331689e+00
1.151999999999999957e+01,-3.730696001073120576e-04,1.766868986638546468e-02,8.703101005979807514e-01
1.152999999999999936e+01,-1.887893808167247776e-04,1.918735399173199241e-02,-5.665772755286753171e-01
1.154000000000000092e+01,-4.447504850177111158e-05,9.675512471258741060e-03,-1.335791028565974647e+00
1.155000000000000071e+01,-1.567214104145278692e-05,-3.914930979195076211e-03,-1.382297661524789278e+00
1.156000000000000050e+01,-1.088117027567583162e-04,-1.471298136386602756e-02,-7.773124154094015470e-01
1.157000000000000028e+01,-2.660775656691367289e-04,-1.674019121860965270e-02,3.718704444606759640e-01
1.158000000000000007e+01,-3.896942304743793812e-04,-7.983141742438876892e-03,1.379539450773479059e+00
1.158999999999999986e+01,-3.887138375612712643e-04,8.179220325060500285e-03,1.852932962726396626e+00
1.159999999999999964e+01,-2.271064227633929548e-04,2.414226263451516030e-02,1.339675499164535433e+00
1.160999999999999943e+01,6.098856028291708650e-05,3.347673397474685425e-02,5.272187688818037454e-01
1.162000000000000099e+01,3.888104796141104839e-04,3.208764989149181374e-02,-8.050355855328115151e-01
1.163000000000000078e+01,6.416215953634001696e-04,1.847457325836612124e-02,-1.917579741092325429e+00
1.164000000000000057e+01,7.285978218035308153e-04,-1.079327970339993836e-03,-1.993200504648896976e+00
1.165000000000000036e+01,6.387390133135141751e-04,-1.689243372766333420e-02,-1.169420646815771070e+00
1.166000000000000014e+01,4.409301217633573942e-04,-2.266934458236801939e-02,1.403847587483375570e-02
1.166999999999999993e+01,2.426671080921303386e-04,-1.698325815187739021e-02,1.123178810223291579e+00
1.167999999999999972e+01,1.418068852669368139e-04,-3.188786413161313199e-03,1.635715537519922824e+00
1.168999999999999950e+01,1.841230208512470109e-04,1.165201353002335259e-02,1.332444451117010376e+00
1.170000000000000107e+01,3.435839400649338352e-04,2.024017031271400924e-02,3.851869054211209953e-01
1.171000000000000085e+01,5.369302343247345536e-04,1.842908853924613705e-02,-7.474032601146951560e-01
1.172000000000000064e+01,6.666449905743915922e-04,7.513862710685270674e-03,-1.435641905597477619e+00
1.173000000000000043e+01,6.710567454414083149e-04,-6.631511737281926139e-03,-1.393432983995961605e+00
1.174000000000000021e+01,5.468464638276805028e-04,-1.821054458546363455e-02,-9.223735856403798561e-01
1.175000000000000000e+01,3.338350915388400841e-04,-2.439172987230444831e-02,-3.138634717277837272e-01
1.175999999999999979e+01,9.223734113076873854e-05,-2.392782020930981843e-02,4.066454043267084817e-01
1.176999999999999957e+01,-1.111714542711561430e-04,-1.675393887107515592e-02,1.028130863320223076e+00
1.177999999999999936e+01,-2.231745034463571955e-04,-5.646670963965053081e-03,1.193322718101797131e+00
1.179000000000000092e+01,-2.283397226819203392e-04,4.613627116852423923e-03,8.587368980616980618e-01
1.180000000000000071e+01,-1.528086756103666608e-04,1.049258229745831175e-02,3.170541380594795733e-01
1.181000000000000050e+01,-4.623823154196917139e-05,1.082150651622118542e-02,-2.512692943069052554e-01
1.182000000000000028e+01,3.692960853452695303e-05,5.812061499078039623e-03,-7.506197091217239326e-01
1.183000000000000007e+01,5.604199660060388212e-05,-1.989583885862653695e-03,-8.097093678664146754e-01
1.183999999999999986e+01,8.525352608130433514e-06,-7.513744912632035200e-03,-2.951228374874617089e-01
1.184999999999999964e+01,-6.804050687985456925e-05,-7.799426984964963686e-03,2.379864230208759146e-01
1.185999999999999943e+01,-1.358107352667507121e-04,-5.754618692414264353e-03,1.709752354892635218e-01
1.187000000000000099e+01,-1.875665805769295626e-04,-4.596550369621504872e-03,6.063842906928806897e-02
1.188000000000000078e+01,-2.243263071501921957e-04,-2.755394945031021739e-03,3.075926558488084606e-01
1.189000000000000057e+01,-2.284232220654300143e-04,1.936011961983458022e-03,6.306887255540875037e-01
1.190000000000000036e+01,-1.797789130395108172e-04,7.792849843200382043e-03,5.406788506892971080e-01
1.191000000000000014e+01,-8.436041691837166466e-05,1.129084938102744781e-02,1.589210568761160181e-01
1.191999999999999993e+01,2.054289544824739193e-05,9.689813092296363506e-03,-4.791283146223331846e-01
1.192999999999999972e+01,8.855754284999387829e-05,3.913116388052933006e-03,-6.762110262263526517e-01
1.193999999999999950e+01,1.022662126154177167e-04,-1.171382434968165111e-03,-3.406887383778668399e-01
1.195000000000000107e+01,7.986764879395573380e-05,-3.308330329324231898e-03,-8.670084049334647602e-02
1.196000000000000085e+01,4.108489586696656318e-05,-4.448220256073602552e-03,-1.412771448565277588e-01
1.197000000000000064e+01,-1.070179107849132125e-05,-5.909117133017973561e-03,-1.509022305323464153e-01
1.198000000000000043e+01,-6.916387645619551767e-05,-5.783299942522865736e-03,1.760656686313679664e-01
1.199000000000000021e+01,-1.077271483914725382e-04,-1.929354444532538695e-03,5.947234309666975527e-01
1.200000000000000000e+01,-9.458014884311152076e-05,4.558754354204741857e-03,7.028983287807586411e-01
1.200999999999999979e+01,-2.623278584671964630e-05,9.110718245073631816e-03,2.074944493930193090e-01
1.201999999999999957e+01,6.170679298776564348e-05,8.477197521823427034e-03,-3.341985940430607371e-01
1.203000000000000114e+01,1.263498091936111716e-04,4.451405719345678802e-03,-4.709597664524891591e-01
1.204000000000000092e+01,1.469420780380316881e-04,-3.329519504615754966e-04,-4.859117675089618116e-01
1.205000000000000071e+01,1.219516359584702777e-04,-4.665136465450706905e-03,-3.805251354888643522e-01
1.206000000000000050e+01,6.067261171134674203e-05,-7.590668383973999365e-03,-2.045812482157942647e-01
1.207000000000000028e+01,-1.931606603502986400e-05,-8.407067165301321948e-03,4.130149195033006038e-02
1.208000000000000007e+01,-9.273907224007556932e-05,-6.277534075707819766e-03,3.846051259683704870e-01
1.208999999999999986e+01,-1.326599723851971339e-04,-1.706645953316493144e-03,5.295724985098950732e-01
1.209999999999999964e+01,-1.247133633098983436e-04,3.295967768376250988e-03,4.709502458286538573e-01
1.210999999999999943e+01,-7.383428391269540787e-05,6.879848111064336587e-03,2.458258227089629155e-01
1.212000000000000099e+01,-2.322277672156888381e-06,7.422553137043368977e-03,-1.372848175131562432e-01
1.213000000000000078e+01,5.118172402792125922e-05,3.278247202972261153e-03,-6.915763693010654745e-01
1.214000000000000057e+01,4.688961444010560450e-05,-4.136669120535392367e-03,-7.914068954004651602e-01
1.215000000000000036e+01,-2.316285235408396335e-05,-9.873824238302519873e-03,-3.560241281529603619e-01
1.216000000000000014e+01,-1.282943328405344462e-04,-1.115247185898757612e-02,1.002946040159486962e-01
1.216999999999999993e+01,-2.316410334981181657e-04,-9.516868272529167144e-03,2.268261132757332099e-01
1.217999999999999972e+01,-3.136254441249941528e-04,-6.880013852846030703e-03,3.005447706608941338e-01
1.218999999999999950e+01,-3.630074143493177037e-04,-2.996380192018678612e-03,4.761819615045761456e-01
1.220000000000000107e+01,-3.683711561977055815e-04,1.923631822341103064e-03,5.078204413673801376e-01
1.221000000000000085e+01,-3.299075156705577930e-04,5.769096283088455054e-03,2.612724507820902708e-01
1.222000000000000064e+01,-2.667303827431328307e-04,6.866330302396536980e-03,-4.182564692047385790e-02
1.223000000000000043e+01,-2.060005058118220529e-04,5.279645083865618788e-03,-2.755113967857099055e-01
1.224000000000000021e+01,-1.701000688479931307e-04,1.900442308900165446e-03,-4.003291582073804644e-01
1.225000000000000000e+01,-1.654693357322733463e-04,-9.742956857562085678e-04,-1.746184407238943193e-01
