Period,Sae
0.3811901901901902,1.6238613057989701
0.3831911911911912,1.6153816012204552
0.3851921921921922,1.606989997583204
0.3871931931931932,1.598685128979385
0.3891941941941942,1.5904656575918519
0.3911951951951952,1.5823302729757116
0.3931961961961962,1.5742776913618275
0.3951971971971972,1.5663066549814844
0.3971981981981982,1.5584159314114632
0.3991991991991992,1.5506043129388163
0.4012002002002002,1.5428706159446506
0.40320120120120123,1.5352136803062575
0.4052022022022022,1.5276323688169626
0.4072032032032032,1.520125566623074
0.4092042042042042,1.5126921806773566
0.4112052052052052,1.5053311392084596
0.4132062062062062,1.4980413912057617
0.4152072072072072,1.4908219059191112
0.4172082082082082,1.483671672372964
0.41920920920920923,1.4765896988944338
0.4212102102102102,1.4695750126547984
0.4232112112112112,1.4626266592240083
0.4252122122122122,1.4557437021377773
0.4272132132132132,1.4489252224768385
0.42921421421421424,1.4421703184579684
0.4312152152152152,1.4354781050363987
0.4332162162162162,1.4288477135192463
0.43521721721721723,1.4222782911896077
0.4372182182182182,1.415769000940975
0.43921921921921925,1.4093190209216462
0.4412202202202202,1.4029275441888112
0.4432212212212212,1.396593778372006
0.44522222222222224,1.390316945345645
0.4472232232232232,1.3840962809103443
0.44922422422422426,1.3779310344827584
0.45122522522522523,1.3718204687936748
0.4532262262262262,1.3657638595941013
0.45522722722722725,1.359760495369108
0.45722822822822823,1.3538096770591828
0.4592292292292292,1.3479107177888703
0.46123023023023024,1.3420629426024753
0.4632312312312312,1.3362656882066175
0.46523223223223226,1.3305183027194272
0.46723323323323324,1.3248201454261879
0.4692342342342342,1.3191705865412306
0.47123523523523525,1.3135690069758945
0.47323623623623623,1.3080147981123735
0.47523723723723726,1.3025073615832774
0.47723823823823824,1.2970461090567391
0.4792392392392392,1.2916304620269028
0.48124024024024026,1.2862598516096422
0.48324124124124124,1.2809337183433522
0.48524224224224227,1.2756515119946694
0.48724324324324325,1.2704126913689815
0.48924424424424423,1.2652167241255845
0.49124524524524527,1.2600630865973583
0.49324624624624624,1.2549512636148334
0.4952472472472472,1.2498807483345191
0.49724824824824826,1.2448510420713799
0.49924924924924924,1.2398616541353384
0.5012502502502503,1.2349121016716957
0.5032512512512513,1.2300019095053585
0.5052522522522522,1.2251306099887667
0.5072532532532532,1.2202977428534216
0.5092542542542543,1.2155028550649145
0.5112552552552553,1.2107455006813588
0.5132562562562563,1.2060252407151342
0.5152572572572572,1.2013416429978514
0.5172582582582582,1.1966942820484539
0.5192592592592593,1.1920827389443651
0.5212602602602603,1.1875066011956086
0.5232612612612613,1.1829654626218105
0.5252622622622622,1.178458923232019
0.5272632632632632,1.1739865891072567
0.5292642642642643,1.1695480722857385
0.5312652652652653,1.1651429906506836
0.5332662662662663,1.160770967820653
0.5352672672672673,1.1564316330423465
0.5372682682682682,1.1521246210857954
0.5392692692692693,1.147849572141889
0.5412702702702703,1.143606131722175
0.5432712712712713,1.1393939505608703
