elem_id,n1,n2,x_mid,y_mid,z_mid,x1,y1,z1,x2,y2,z2,length,orientation,element_type,N_max,V_max,M_max,sigma_axial,sigma_bending,sigma_combined,tau_shear,utilization,shear_utilization
33,80,119,20000.0,0.0,15000.0,16000.0,0.0,15000.0,24000.0,0.0,15000.0,8000.0,x-direction,beam_x,0.07760787145316286,2.34030534485874e-11,1.6513252357974426,0.002155774207032302,0.04587014543881785,0.04802591964585015,9.75127227024475e-13,0.00320172797639001,3.9005089080979e-13
34,119,158,28000.0,0.0,15000.0,24000.0,0.0,15000.0,32000.0,0.0,15000.0,8000.0,x-direction,beam_x,0.0027670318680626366,0.0006040649949686455,3.262238091551146,7.686199633507324e-05,0.0906177247653096,0.09069458676164467,2.516937479036023e-05,0.0060463057841096445,1.0067749916144093e-05
35,158,197,36000.0,0.0,15000.0,32000.0,0.0,15000.0,40000.0,0.0,15000.0,8000.0,x-direction,beam_x,0.091092591382456,1.2007909934546936e-05,0.07264189707763288,0.002530349760623778,0.0020178304743786912,0.0045481802350024695,5.003295806061223e-07,0.0003032120156668313,2.0013183224244892e-07
36,15,54,4000.0,8000.0,15000.0,0.0,8000.0,15000.0,8000.0,8000.0,15000.0,8000.0,x-direction,beam_x,1.793652341699593e-06,1.2387672569694074e-05,0.07400265594186654,4.9823676158322024e-08,0.002055629331718515,0.002055679155394673,5.161530237372531e-07,0.00017130659628288944,2.0646120949490124e-07
37,54,93,12000.0,8000.0,15000.0,8000.0,8000.0,15000.0,16000.0,8000.0,15000.0,8000.0,x-direction,beam_x,1.3918686981542958e-05,0.0006345341814163372,3.3432856168147884,3.866301939317488e-07,0.0928690449115219,0.09286943154171583,2.643892422568072e-05,0.006191295436114389,1.0575569690272288e-05
38,93,132,20000.0,8000.0,15000.0,16000.0,8000.0,15000.0,24000.0,8000.0,15000.0,8000.0,x-direction,beam_x,6.964997538374659e-08,1.1256394316649932e-11,1.6512660161844417,1.9347215384374053e-09,0.04586850044956782,0.045868502384289356,4.690164298604138e-13,0.00382237519869078,1.8760657194416554e-13
39,132,171,28000.0,8000.0,15000.0,24000.0,8000.0,15000.0,32000.0,8000.0,15000.0,8000.0,x-direction,beam_x,1.3937038111139567e-05,0.0006345342303874275,3.3432858599588733,3.8713994753165466e-07,0.09286905166552425,0.09286943880547179,2.6438926266142814e-05,0.0061912959203647856,1.0575570506457125e-05
40,171,210,36000.0,8000.0,15000.0,32000.0,8000.0,15000.0,40000.0,8000.0,15000.0,8000.0,x-direction,beam_x,1.7881683424780961e-06,1.2387693171916774e-05,0.07400273651508807,4.9671342846613783e-08,0.0020556315698635574,0.002055681241206404,5.161538821631989e-07,0.00017130677010053367,2.0646155286527957e-07
41,28,67,4000.0,16000.0,15000.0,0.0,16000.0,15000.0,8000.0,16000.0,15000.0,8000.0,x-direction,beam_x,0.09104965219765468,1.2007894146638899e-05,0.07264183498081211,0.002529157005490408,0.0020178287494670034,0.004546985754957411,5.003289227766208e-07,0.0003789154795797842,2.0013156911064832e-07
42,67,106,12000.0,16000.0,15000.0,8000.0,16000.0,15000.0,16000.0,16000.0,15000.0,8000.0,x-direction,beam_x,0.002678755695276373,0.0006040650040025776,3.2622381578446245,7.44098804243437e-05,0.09061772660679512,0.09069213648721947,2.5169375166774063e-05,0.007557678040601622,1.0067750066709625e-05
43,106,145,20000.0,16000.0,15000.0,16000.0,16000.0,15000.0,24000.0,16000.0,15000.0,8000.0,x-direction,beam_x,0.07759789169313344,2.3392214457515937e-11,1.6513252287032878,0.002155496991475929,0.045870145241758,0.048025642233233926,9.746756023964975e-13,0.004002136852769494,3.8987024095859897e-13
44,145,184,28000.0,16000.0,15000.0,24000.0,16000.0,15000.0,32000.0,16000.0,15000.0,8000.0,x-direction,beam_x,0.002763893817625878,0.0006040649647746424,3.2622379560242694,7.67748282673855e-05,0.09061772100067415,0.09069449582894154,2.5169373532276767e-05,0.007557874652411795,1.0067749412910707e-05
45,184,223,36000.0,16000.0,15000.0,32000.0,16000.0,15000.0,40000.0,16000.0,15000.0,8000.0,x-direction,beam_x,0.09108599678122517,1.2007903285774194e-05,0.07264186151921233,0.002530166577256255,0.002017829486644787,0.004547996063901042,5.003293035739247e-07,0.0003789996719917535,2.001317214295699e-07
46,3,42,4000.0,0.0,21000.0,0.0,0.0,21000.0,8000.0,0.0,21000.0,8000.0,x-direction,beam_x,0.23892933152861517,1.8036448182027246e-06,0.011048159824720682,0.0066369258757948656,0.0003068933284644634,0.006943819204259329,7.515186742511353e-08,0.000578651600354944,3.006074697004541e-08
47,42,81,12000.0,0.0,21000.0,8000.0,0.0,21000.0,16000.0,0.0,21000.0,8000.0,x-direction,beam_x,0.8329532084576574,7.315345012014592e-05,0.3965846542678832,0.023137589123823816,0.011016240396330089,0.0341538295201539,3.0480604216727466e-06,0.0028461524600128254,1.2192241686690985e-06
48,81,120,20000.0,0.0,21000.0,16000.0,0.0,21000.0,24000.0,0.0,21000.0,8000.0,x-direction,beam_x,0.06430122663853323,4.996960702714309e-11,0.20285211511812276,0.001786145184403701,0.0056347809755034105,0.007420926159907111,2.0820669594642953e-12,0.0004947284106604741,8.328267837857181e-13
49,120,159,28000.0,0.0,21000.0,24000.0,0.0,21000.0,32000.0,0.0,21000.0,8000.0,x-direction,beam_x,0.8329527201054665,7.315344867534809e-05,0.39658464803685356,0.023137575558485182,0.011016240223245932,0.034153815781731114,3.0480603614728373e-06,0.0028461513151442595,1.219224144589135e-06
