elem_id,type,tower,length,axial_force_N,shear_Vy_N,shear_Vz_N,torsion_Nmm,moment_My_Nmm,moment_Mz_Nmm,axial_stress_MPa,bending_stress_MPa,combined_stress_MPa,shear_stress_MPa
9409,beam_y,tower2,40.0,-0.6035556523493774,2.0471371323589506e-14,1.4561314610944777e-13,3.3176229834910767e-12,1.8632442011808503,3.291998976776487,-0.016765434787482703,0.14320119938770381,0.15996663417518653,6.126879723433135e-15
9410,beam_y,tower2,40.0,1.747521942513415,-119.32431258297258,0.25967416334032667,4.08855790212446,1.8769387018833164,-33.405056227702346,0.04854227618092819,0.9800554147107128,1.028597690891641,4.971858130614244
9411,beam_y,tower2,40.0,-0.3498750925163876,-10.793715218956399,0.4721149640722437,7.288114138296259,-0.3503737029466218,0.7935807712461154,-0.009718752569899656,0.031776513172020474,0.04149526574192013,0.45016814136349825
9412,beam_y,tower2,40.0,-2.983462363135051,-354.6456118330237,0.7661203539381019,12.559519833259023,0.14218075738848368,40.09433638304544,-0.0828739545315292,1.11768103167872,1.2005549862102491,14.776934972281243
9413,shear_wall_xz,tower2,78.10249675906654,-237.03336195414775,0.8500307850682486,-287.2277847579694,-21.9453227795694,65.25124186792083,13.125545213499633,-6.584260054281882,2.1771329744839014,8.761393028765784,11.96787677328776
9414,shear_wall_xz,tower2,78.10249675906654,22.519982256958563,-0.5881579196413957,-30.026849702211567,17.12623407778145,-89.16806067447736,16.875049404883043,0.6255550626932934,2.9456419466489,3.5711970093421934,1.2513587287491688
9415,shear_wall_xz,tower2,78.10249675906654,-259.1456982852621,-0.6528111694748922,-312.2058812957976,20.63541354680345,23.411891773039574,-20.77065365777458,-7.198491619035058,1.2272929286337266,8.425784547668783,13.008606824886906
9416,shear_wall_xz,tower2,78.10249675906654,-105.9023217786488,0.7172014003318931,124.68213135741509,-20.381834182326383,-66.66989685767446,-14.271051781227985,-2.9417311605180223,2.248359684413957,5.190090844931979,5.195174754051354
9417,shear_wall_xz,tower2,78.10249675906654,-263.5236080764945,0.43668437307185387,-316.51322053230626,-12.74212087572634,2.3386101844190295,14.141320499776846,-7.320100224347069,0.4577758523387743,7.7778760766858435,13.188063407196925
9418,shear_wall_xz,tower2,78.10249675906654,-212.50600710420062,0.10733475835029381,253.91773742364097,-5.040878590897642,-34.871192443882364,-8.596744991862296,-5.902944641783351,1.2074427065484628,7.110387348331813,10.579906671234568
