t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
2.8200,-0.12213545,-0.12210955,0.00033556,0.00033171
2.8400,-0.07152252,-0.07149655,-0.00021860,-0.00022208
2.8600,0.09115785,0.09114912,-0.00074583,-0.00074095
2.8800,0.19699919,0.19698353,-0.00099499,-0.00099084
2.9000,0.17189733,0.17186517,-0.00085063,-0.00084241
2.9200,0.08014676,0.08014453,-0.00050597,-0.00050538
2.9400,-0.04114226,-0.04112993,0.00005070,0.00005024
2.9600,-0.07724549,-0.07722548,0.00051322,0.00051108
2.9800,-0.09555861,-0.09554082,0.00079344,0.00078894
3.0000,-0.17897996,-0.17898855,0.00089949,0.00089559
3.0200,-0.21660792,-0.21661501,0.00068306,0.00067450
3.0400,-0.22785455,-0.22786718,0.00033205,0.00032592
3.0600,-0.22044388,-0.22043029,-0.00000760,-0.00001576
3.0800,-0.07380518,-0.07378416,-0.00030208,-0.00030370
3.1000,0.16103183,0.16104750,-0.00051251,-0.00050769
3.1200,0.28015470,0.28015241,-0.00053266,-0.00052327
3.1400,0.18009296,0.18006755,-0.00041503,-0.00040820
3.1600,-0.11544550,-0.11545832,-0.00011067,-0.00011561
3.1800,-0.38145735,-0.38146142,0.00028549,0.00027454
3.2000,-0.37690230,-0.37687126,0.00060462,0.00059022
3.2200,-0.07771933,-0.07769701,0.00076379,0.00076280
3.2400,0.29202224,0.29203049,0.00057723,0.00058541
3.2600,0.45029944,0.45027656,0.00019437,0.00020953
3.2800,0.36228134,0.36223484,-0.00040986,-0.00039742
3.3000,0.11028399,0.11026059,-0.00091769,-0.00091581
3.3200,-0.11195284,-0.11196241,-0.00114084,-0.00114214
3.3400,-0.18407974,-0.18403576,-0.00097017,-0.00097878
3.3600,-0.14604564,-0.14601070,-0.00035310,-0.00035530
3.3800,-0.05382340,-0.05379430,0.00038364,0.00038008
3.4000,0.01292847,0.01291312,0.00103632,0.00103771
3.4200,0.03145133,0.03140935,0.00127010,0.00127097
3.4400,0.01102220,0.01099127,0.00104775,0.00104713
3.4600,-0.01890348,-0.01892028,0.00041223,0.00041338
3.4800,-0.07170282,-0.07166467,-0.00033210,-0.00033680
3.5000,-0.10023664,-0.10020468,-0.00088252,-0.00088308
3.5200,-0.04021878,-0.04018455,-0.00112768,-0.00113122
3.5400,0.03990328,0.03989013,-0.00090151,-0.00089832
3.5600,0.06774980,0.06772037,-0.00036115,-0.00035964
3.5800,0.00836688,0.00834167,0.00033236,0.00033274
3.6000,-0.10196413,-0.10197067,0.00089145,0.00088883
3.6200,-0.17835399,-0.17832075,0.00115327,0.00114579
3.6400,-0.12414003,-0.12411886,0.00100338,0.00100090
3.6600,0.06672880,0.06674395,0.00045655,0.00045661
3.6800,0.26772495,0.26769321,-0.00028014,-0.00026977
3.7000,0.36401124,0.36397501,-0.00097867,-0.00096813
3.7200,0.31140066,0.31136909,-0.00140657,-0.00139529
3.7400,0.10968621,0.10968909,-0.00139281,-0.00138952
3.7600,-0.16227361,-0.16223578,-0.00084992,-0.00085520
3.7800,-0.33935958,-0.33932151,0.00002842,0.00001802
3.8000,-0.32976443,-0.32973651,0.00095405,0.00094211
3.8200,-0.16758059,-0.16759912,0.00159219,0.00158793
3.8400,0.04787952,0.04785038,0.00168109,0.00168107
3.8600,0.21151296,0.21147332,0.00113127,0.00113947
3.8800,0.23853562,0.23852716,0.00011526,0.00012183
3.9000,0.12992100,0.12993475,-0.00095379,-0.00094865
3.9200,-0.01328971,-0.01326138,-0.00170192,-0.00170262
3.9400,-0.10125870,-0.10123439,-0.00180716,-0.00181041
3.9600,-0.10073440,-0.10073516,-0.00122718,-0.00122984
3.9800,-0.03471423,-0.03472235,-0.00016657,-0.00016849
4.0000,0.03828221,0.03825986,0.00093110,0.00093343
4.0200,0.04802359,0.04801962,0.00166643,0.00166665
4.0400,-0.01645230,-0.01645444,0.00177517,0.00177579
4.0600,-0.11111544,-0.11110344,0.00122787,0.00122296
4.0800,-0.15702877,-0.15702338,0.00028021,0.00027585
4.1000,-0.08783626,-0.08783573,-0.00074231,-0.00074566
4.1200,0.07353796,0.07353602,-0.00144012,-0.00143772
4.1400,0.25202220,0.25201329,-0.00164767,-0.00163886
4.1600,0.34699551,0.34699661,-0.00130590,-0.00129550
4.1800,0.30318224,0.30317249,-0.00059911,-0.00058781
4.2000,0.10830998,0.10831075,0.00022510,0.00022705
4.2200,-0.13877838,-0.13878605,0.00095043,0.00094701
4.2400,-0.25155400,-0.25155388,0.00128253,0.00127320
